record_timestamp,name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,geometry.type,geometry.coordinates,lat,lng
2024-04-16T12:27:00.395Z,Docteur Calmette - Martre,21120,6,9,"[48.898969358483, 2.3086513252383]",2024-04-16T12:22:23+00:00,15,14,30,1,1,Clichy,OUI,Point,"[2.3086513252383, 48.898969358483]",48.898969358483,2.3086513252383
2024-04-16T12:27:00.395Z,Saint-Fargeau - Mortier,20117,0,0,"[48.87266656122256, 2.407912909984589]",2024-04-16T12:16:36+00:00,0,31,31,1,1,Paris,OUI,Point,"[2.407912909984589, 48.87266656122256]",48.87266656122256,2.407912909984589
2024-04-16T12:27:00.395Z,République - Auguste Perret,48009,3,11,"[48.78695280952244, 2.3518594354391094]",2024-04-16T12:22:28+00:00,14,16,30,1,1,Villejuif,OUI,Point,"[2.3518594354391094, 48.78695280952244]",48.78695280952244,2.3518594354391094
2024-04-16T12:27:00.395Z,Dareau - Broussais,14125,2,0,"[48.8307758, 2.3361804]",2024-04-16T12:20:53+00:00,2,22,24,1,1,Paris,OUI,Point,"[2.3361804, 48.8307758]",48.8307758,2.3361804
2024-04-16T12:27:00.395Z,Le Corbusier - Jean Jaurès,21009,10,19,"[48.83780830557548, 2.2408381104469304]",2024-04-16T12:22:11+00:00,29,16,46,1,1,Boulogne-Billancourt,OUI,Point,"[2.2408381104469304, 48.83780830557548]",48.83780830557548,2.2408381104469304
2024-04-16T12:27:00.395Z,Beaumarchais - Pas de la Mule,4107,4,1,"[48.855580507049, 2.3684333673431]",2024-04-16T12:16:21+00:00,5,13,18,1,1,Paris,OUI,Point,"[2.3684333673431, 48.855580507049]",48.855580507049,2.3684333673431
2024-04-16T12:27:00.395Z,Mairie du 9ème,9013,8,13,"[48.87326713758289, 2.340753448052758]",2024-04-16T12:21:57+00:00,21,2,24,1,1,Paris,OUI,Point,"[2.340753448052758, 48.87326713758289]",48.87326713758289,2.340753448052758
2024-04-16T12:27:00.395Z,Jean Moulin - Paul Doumer,31017,1,0,"[48.8622179854695, 2.45533436536789]",2024-04-16T12:18:32+00:00,1,17,20,1,1,Montreuil,OUI,Point,"[2.45533436536789, 48.8622179854695]",48.8622179854695,2.45533436536789
2024-04-16T12:27:00.395Z,Pont De Charenton,44103,1,8,"[48.8179685, 2.4199531]",2024-04-16T12:19:49+00:00,9,9,18,1,1,Saint-Maurice,OUI,Point,"[2.4199531, 48.8179685]",48.8179685,2.4199531
2024-04-16T12:27:00.395Z,Pierre Brossolette - Adolphe Pinard,22403,1,0,"[48.82177227954821, 2.313155829906464]",2024-04-16T12:14:16+00:00,1,22,24,1,1,Malakoff,OUI,Point,"[2.313155829906464, 48.82177227954821]",48.82177227954821,2.313155829906464
2024-04-16T12:27:00.395Z,Place Centrale,21951,4,4,"[48.78740167690531, 2.2278830409049992]",2024-04-16T12:17:40+00:00,8,13,22,1,1,Meudon,OUI,Point,"[2.2278830409049992, 48.78740167690531]",48.78740167690531,2.2278830409049992
2024-04-16T12:27:00.395Z,Gare de Nanterre Ville,92005,11,7,"[48.8950295, 2.1957932]",2024-04-16T12:19:22+00:00,18,25,43,1,1,Nanterre,OUI,Point,"[2.1957932, 48.8950295]",48.8950295,2.1957932
2024-04-16T12:27:00.395Z,Pré Saint-Gervais - Lilas,19113,2,0,"[48.877870626988, 2.3959073424339]",2024-04-16T12:21:58+00:00,2,26,28,1,1,Paris,OUI,Point,"[2.3959073424339, 48.877870626988]",48.877870626988,2.3959073424339
2024-04-16T12:27:00.395Z,Gergovie - Vercingétorix,14128,2,0,"[48.83453413883994, 2.313154547426182]",2024-04-16T12:17:53+00:00,2,25,29,1,1,Paris,OUI,Point,"[2.313154547426182, 48.83453413883994]",48.83453413883994,2.313154547426182
2024-04-16T12:27:00.395Z,Hôpital Robert Debré,19036,0,0,"[48.88005222200894, 2.4008650346327003]",2024-04-16T12:22:27+00:00,0,33,33,1,1,Paris,OUI,Point,"[2.4008650346327003, 48.88005222200894]",48.88005222200894,2.4008650346327003
2024-04-16T12:27:00.395Z,Pyramide - Parc Floral,12125,2,10,"[48.837442, 2.440452]",2024-04-16T12:16:30+00:00,12,36,50,1,1,Paris,OUI,Point,"[2.440452, 48.837442]",48.837442,2.440452
2024-04-16T12:27:00.395Z,Choron - Martyrs,9016,0,0,"[48.877851443502536, 2.3396701365709305]",2024-04-16T12:19:34+00:00,0,17,17,1,1,Paris,OUI,Point,"[2.3396701365709305, 48.877851443502536]",48.877851443502536,2.3396701365709305
2024-04-16T12:27:00.395Z,Edouard Vaillant - Galliéni,31707,5,2,"[48.858462881661, 2.4147954583168]",2024-04-16T12:15:12+00:00,7,42,49,1,1,Bagnolet,OUI,Point,"[2.4147954583168, 48.858462881661]",48.858462881661,2.4147954583168
2024-04-16T12:27:00.395Z,Auguste Blanqui - Glacière,13515,3,2,"[48.831151602964354, 2.3438221961259837]",2024-04-16T12:17:00+00:00,5,53,60,1,1,Paris,OUI,Point,"[2.3438221961259837, 48.831151602964354]",48.831151602964354,2.3438221961259837
2024-04-16T12:27:00.395Z,Bastille - Quai de la Rapée,12150,6,12,"[48.84682410855, 2.3669364675879]",2024-04-16T12:19:45+00:00,18,8,27,1,1,Paris,OUI,Point,"[2.3669364675879, 48.84682410855]",48.84682410855,2.3669364675879
2024-04-16T12:27:00.395Z,Alexander Fleming - Belvédère,19124,0,0,"[48.88179064200294, 2.4030599377642674]",2024-04-16T12:20:38+00:00,0,31,31,1,1,Paris,OUI,Point,"[2.4030599377642674, 48.88179064200294]",48.88179064200294,2.4030599377642674
2024-04-16T12:27:00.395Z,Jacquard - Ternaux,11031,0,0,"[48.8646605, 2.373162]",2024-03-27T06:55:09+00:00,0,0,0,0,1,Paris,NON,Point,"[2.373162, 48.8646605]",48.8646605,2.373162
2024-04-16T12:27:00.395Z,Paul Barruel - Vaugirard,15019,2,1,"[48.84014918546239, 2.3044332861900334]",2024-04-16T12:21:32+00:00,3,34,39,1,1,Paris,OUI,Point,"[2.3044332861900334, 48.84014918546239]",48.84014918546239,2.3044332861900334
2024-04-16T12:27:00.395Z,Jules Guesde - Alsace,23006,0,0,"[48.890566275506, 2.2950777411461]",2018-09-21T04:21:45+00:00,0,25,25,0,1,Levallois-Perret,NON,Point,"[2.2950777411461, 48.890566275506]",48.890566275506,2.2950777411461
2024-04-16T12:27:00.395Z,Longchamp - Place d'Iéna,16007,15,4,"[48.86491723343388, 2.2926748171448708]",2024-04-16T12:19:49+00:00,19,21,40,1,1,Paris,OUI,Point,"[2.2926748171448708, 48.86491723343388]",48.86491723343388,2.2926748171448708
2024-04-16T12:27:00.395Z,Parc Suzanne Lenglen,15125,10,37,"[48.833250690537874, 2.2765403240919113]",2024-04-16T12:20:54+00:00,47,4,52,1,1,Paris,OUI,Point,"[2.2765403240919113, 48.833250690537874]",48.833250690537874,2.2765403240919113
2024-04-16T12:27:00.395Z,Stade Georges Carpentier,13117,0,1,"[48.820482438381, 2.3668321967125]",2024-04-16T12:21:23+00:00,1,39,40,1,1,Paris,OUI,Point,"[2.3668321967125, 48.820482438381]",48.820482438381,2.3668321967125
